Tiempo(s),EMG(V)
1.244,0.998324
1.245,1.146492
1.246,1.316935
1.247,1.509974
1.248,1.71657
1.249,1.920907
1.25,2.094578
1.251,2.214662
1.252,2.303757
1.253,2.357989
1.254,2.361217
1.255,2.293427
1.256,2.133315
1.257,1.933497
1.258,1.75789
1.259,1.599068
1.26,1.435405
1.261,1.274001
1.262,1.130029
1.263,1.010267
1.264,0.917299
1.265,0.874688
1.266,0.881144
1.267,0.937313
1.268,1.035124
1.269,1.166184
1.27,1.318549
1.271,1.47963
1.272,1.643616
1.273,1.801792
1.274,1.953834
1.275,2.098774
1.276,2.23274
1.277,2.351856
1.278,2.468389
1.279,2.601063
1.28,2.708881
1.281,2.731154
1.282,2.654972
1.283,2.526172
1.284,2.368964
1.285,2.172697
1.286,1.947701
1.287,1.715602
1.288,1.490928
1.289,1.290464
1.29,1.116471
1.291,0.986703
1.292,0.918913
1.293,0.924723
1.294,0.995741
1.295,1.125833
1.296,1.292724
1.297,1.493833
1.298,1.722381
1.299,1.964487
1.3,2.224347
1.301,2.493891
1.302,2.736965
1.303,2.914832
1.304,3.010383
1.305,3.022327
1.306,2.976488
1.307,2.877063
1.308,2.713723
1.309,2.4926
1.31,2.226606
1.311,1.947055
1.312,1.697847
1.313,1.492542
1.314,1.323068
1.315,1.206857
1.316,1.161664
1.317,1.187812
1.318,1.274647
1.319,1.413777
1.32,1.583574
1.321,1.76822
1.322,1.965455
1.323,2.165273
1.324,2.354761
1.325,2.524558
1.326,2.66853
1.327,2.779253
1.328,2.850916
1.329,2.879323
1.33,2.863505
1.331,2.804109
1.332,2.706944
1.333,2.572979
1.334,2.410929
1.335,2.237259
1.336,2.064234
1.337,1.904121
1.338,1.774998
1.339,1.696233
1.34,1.677833
1.341,1.711728
1.342,1.788556
1.343,1.896697
1.344,2.02582
1.345,2.167532
1.346,2.312473
1.347,2.455154
1.348,2.585568
1.349,2.695968
1.35,2.783772
1.351,2.849948
1.352,2.888362
1.353,2.900951
1.354,2.887393
1.355,2.833162
1.356,2.741484
1.357,2.625596
1.358,2.503575
1.359,2.39834
1.36,2.314087
1.361,2.243715
1.362,2.172375
1.363,2.118143
1.364,2.118789
1.365,2.179799
1.366,2.261469
1.367,2.339912
1.368,2.408992
1.369,2.469035
1.37,2.513259
1.371,2.540698
1.372,2.551351
1.373,2.54554
1.374,2.529722
1.375,2.507772
1.376,2.487112
1.377,2.470649
1.378,2.464838
1.379,2.463547
1.38,2.462579
1.381,2.470972
1.382,2.490663
1.383,2.512614
1.384,2.534565
1.385,2.56394
1.386,2.60881
1.387,2.672081
1.388,2.745681
1.389,2.838972
1.39,2.930327
1.391,3.003927
1.392,3.05493
1.393,3.081723
1.394,3.073008
1.395,3.021681
1.396,2.926776
1.397,2.798944
1.398,2.655617
1.399,2.517779
1.4,2.393175
1.401,2.290522
1.402,2.218859
1.403,2.177539
1.404,2.173343
1.405,2.20401
1.406,2.26502
1.407,2.346691
1.408,2.448698
1.409,2.568459
1.41,2.699196
1.411,2.829933
1.412,2.950986
1.413,3.052025
1.414,3.127239
1.415,3.176952
1.416,3.201162
1.417,3.203422
1.418,3.185345
1.419,3.147576
1.42,3.097218
1.421,3.034271
1.422,2.961316
1.423,2.881905
1.424,2.80766
1.425,2.751168
1.426,2.720179
1.427,2.716628
1.428,2.743421
1.429,2.800881
1.43,2.875772
1.431,2.953892
1.432,3.025555
1.433,3.087534
1.434,3.133695
1.435,3.163071
1.436,3.174692
1.437,3.159843
1.438,3.127562
1.439,3.090762
1.44,3.056867
1.441,3.028137
1.442,3.000053
1.443,2.97552
1.444,2.961639
1.445,2.962607
1.446,2.977134
1.447,3.00199
1.448,3.032011
1.449,3.065906
1.45,3.101415
1.451,3.139506
1.452,3.172109
1.453,3.190509
1.454,3.193738
1.455,3.187927
1.456,3.181471
1.457,3.187281
1.458,3.209878
1.459,3.247324
1.46,3.293162
1.461,3.331254
1.462,3.351268
1.463,3.346426
1.464,3.310594
1.465,3.247969
1.466,3.175338
1.467,3.100769
1.468,3.029751
1.469,2.965835
1.47,2.912572
1.471,2.873835
1.472,2.856081
1.473,2.854467
1.474,2.879323
1.475,2.935169
1.476,3.013934
1.477,3.109162
1.478,3.214397
1.479,3.324152
1.48,3.427773
1.481,3.527198
1.482,3.615324
1.483,3.66891
1.484,3.671815
1.485,3.630173
1.486,3.551408
1.487,3.443268
1.488,3.318664
1.489,3.189218
1.49,3.067197
1.491,2.964867
1.492,2.892881
1.493,2.856726
1.494,2.855112
1.495,2.888039
1.496,2.948727
1.497,3.028783
1.498,3.122074
1.499,3.225695
1.5,3.328025
1.501,3.431647
1.502,3.52171
1.503,3.574973
1.504,3.587886
1.505,3.565289
1.506,3.523001
1.507,3.476517
1.508,3.426159
1.509,3.380643
1.51,3.345134
1.511,3.324152
1.512,3.324152
1.513,3.32738
1.514,3.31931
1.515,3.301555
1.516,3.28025
1.517,3.259913
1.518,3.244418
1.519,3.231829
1.52,3.220853
1.521,3.21472
1.522,3.219239
1.523,3.240545
1.524,3.27799
1.525,3.339969
1.526,3.411633
1.527,3.47458
1.528,3.523001
1.529,3.555928
1.53,3.573682
1.531,3.582075
1.532,3.579815
1.533,3.564321
1.534,3.540433
1.535,3.509766
1.536,3.474257
1.537,3.433906
